<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/RuterNorway/Llama-2-7b-chat-norwegian'>RuterNorway/Llama-2-7b-chat-norwegian</a>,📝,-@@100,?,?,32000.0,4096.0,✗,✗,(✓),✗,21.95 ± 6.30 / 33.38 ± 4.79@@21.95,18.69 ± 7.23 / 18.50 ± 6.51@@18.69,0.01 ± 1.91 / 39.40 ± 3.94@@0.01,-@@-1,-@@-1,1.71 ± 2.44 / 26.56 ± 3.58@@1.71,0.62 ± 0.99 / 24.68 ± 0.55@@0.62,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,-@@0,-@@0,15.10.1.dev0@@151001,9.3.1@@90301
<a href='https://hf.co/Shekswess/trlm-135m'>Shekswess/trlm-135m</a>,📝,-@@100,?,134516160.0,49154.0,8192.0,✓,✗,(✓),✗,0.00 ± 0.00 / 9.67 ± 0.20@@0.00,25.52 ± 4.58 / 25.73 ± 3.09@@25.52,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,11.72 ± 1.81 / 1.63 ± 0.72@@11.72,-@@-1,0.00 ± 0.00 / 35.18 ± 1.52@@0.00,-0.22 ± 0.82 / 26.12 ± 0.78@@-0.22,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/THUDM/GLM-4.1V-9B-Thinking'>THUDM/GLM-4.1V-9B-Thinking</a>,🤔,-@@100,?,10292777472.0,151552.0,65536.0,✓,✗,(✓),✗,69.38 ± 0.40 / 71.60 ± 0.72@@69.38,76.62 ± 0.98 / 54.34 ± 1.76@@76.62,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,7.09 ± 0.40 / 0.00 ± 0.00@@7.09,-@@-1,0.00 ± 0.00 / 27.79 ± 0.87@@0.00,0.00 ± 0.00 / 24.98 ± 0.50@@0.00,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,-@@0,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic</a>,📝,-@@100,?,28410968576.0,256000.0,8192.0,✓,✗,(✓),✗,68.81 ± 1.01 / 72.72 ± 0.68@@68.81,57.07 ± 1.39 / 51.54 ± 1.36@@57.07,49.26 ± 1.51 / 72.69 ± 0.79@@49.26,81.05 ± 0.87 / 60.78 ± 1.66@@81.05,-@@-1,84.50 ± 0.84 / 88.63 ± 0.63@@84.50,78.27 ± 1.02 / 83.56 ± 0.82@@78.27,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,-@@0,15.10.1.dev0@@151001,15.5.0@@150500
<a href='https://hf.co/TildeAI/TildeOpen-30b'>TildeAI/TildeOpen-30b#slow-tokenizer</a>,🧠,-@@100,N/A,30677882880.0,131072.0,65536.0,✓,✗,✗,✓,61.02 ± 2.18 / 68.15 ± 1.18@@61.02,58.22 ± 3.63 / 53.00 ± 2.88@@58.22,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,82.28 ± 1.23 / 69.28 ± 2.00@@82.28,-@@-1,58.71 ± 2.34 / 66.64 ± 2.28@@58.71,8.30 ± 1.27 / 26.98 ± 0.67@@8.30,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama</a>,🧠,-@@100,N/A,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-2.84 ± 1.90 / 27.36 ± 0.97@@-2.84,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,-@@100,N/A,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,13.55 ± 2.84 / 35.43 ± 2.19@@13.55,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B</a>,📝,-@@100,?,7615616512.0,152064.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,59.67 ± 1.71 / 70.64 ± 1.25@@59.67,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,-@@100,2.91,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,59.72 ± 1.20 / 68.31 ± 0.69@@59.72,66.45 ± 1.03 / 56.54 ± 0.66@@66.45,35.38 ± 2.08 / 67.30 ± 0.91@@35.38,79.32 ± 0.65 / 64.10 ± 0.88@@79.32,-@@-1,68.20 ± 1.57 / 76.33 ± 1.21@@68.20,52.88 ± 0.71 / 64.51 ± 0.54@@52.88,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,-@@100,0.04,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,52.02 ± 2.92 / 59.08 ± 2.23@@52.02,50.09 ± 1.52 / 47.02 ± 1.98@@50.09,4.34 ± 2.13 / 40.59 ± 3.22@@4.34,17.78 ± 0.62 / 0.03 ± 0.05@@17.78,-@@-1,50.05 ± 2.17 / 63.12 ± 1.93@@50.05,10.19 ± 1.45 / 32.09 ± 1.25@@10.19,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,-@@100,0.0,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,40.83 ± 10.23 / 45.50 ± 8.27@@40.83,47.91 ± 1.40 / 45.15 ± 1.47@@47.91,6.46 ± 1.55 / 44.22 ± 4.73@@6.46,53.78 ± 2.00 / 11.03 ± 6.44@@53.78,-@@-1,49.63 ± 2.08 / 61.19 ± 1.89@@49.63,12.98 ± 1.91 / 32.50 ± 1.70@@12.98,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,N/A,561192082.0,250002.0,512.0,✓,✗,(✓),✓,52.19 ± 12.17 / 54.33 ± 5.98@@52.19,88.15 ± 0.75 / 87.62 ± 0.70@@88.15,41.74 ± 17.43 / 67.46 ± 11.75@@41.74,70.90 ± 1.31 / 57.85 ± 1.59@@70.90,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0
<a href='https://hf.co/HPLT/hplt2c_deu_checkpoints'>HPLT/hplt2c_deu_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,21.22 ± 4.45 / 34.06 ± 4.84@@21.22,11.65 ± 6.74 / 10.74 ± 6.33@@11.65,-0.08 ± 0.83 / 44.18 ± 3.18@@-0.08,23.88 ± 1.40 / 13.54 ± 1.72@@23.88,-@@-1,-0.05 ± 1.60 / 34.02 ± 1.63@@-0.05,-0.07 ± 0.86 / 25.48 ± 0.70@@-0.07,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HPLT/hplt2c_eng_checkpoints'>HPLT/hplt2c_eng_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,60.92 ± 3.80 / 55.15 ± 2.37@@60.92,21.79 ± 8.54 / 22.33 ± 7.65@@21.79,3.25 ± 1.35 / 46.12 ± 3.30@@3.25,49.94 ± 2.30 / 38.53 ± 1.89@@49.94,-@@-1,-1.32 ± 1.55 / 27.34 ± 0.96@@-1.32,0.79 ± 0.82 / 25.73 ± 0.57@@0.79,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HPLT/hplt2c_nld_checkpoints'>HPLT/hplt2c_nld_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,20.85 ± 6.67 / 30.49 ± 4.98@@20.85,16.98 ± 6.81 / 15.74 ± 6.18@@16.98,1.11 ± 1.41 / 41.20 ± 4.65@@1.11,26.55 ± 2.49 / 16.30 ± 1.61@@26.55,-@@-1,0.04 ± 1.56 / 24.77 ± 1.87@@0.04,-0.48 ± 1.01 / 25.01 ± 0.60@@-0.48,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct</a>,📝,-@@100,?,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,37.23 ± 2.71 / 50.25 ± 2.25@@37.23,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B</a>,🧠,-@@100,N/A,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,42.09 ± 3.18 / 54.43 ± 3.27@@42.09,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B</a>,🤔,-@@100,?,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,62.37 ± 1.74 / 70.37 ± 0.97@@62.37,57.35 ± 3.61 / 50.84 ± 2.94@@57.35,36.65 ± 1.29 / 67.32 ± 0.62@@36.65,81.16 ± 0.64 / 67.63 ± 0.85@@81.16,-@@-1,67.23 ± 1.17 / 75.68 ± 0.98@@67.23,45.68 ± 1.40 / 58.95 ± 1.18@@45.68,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,N/A,93990500.0,65636.0,512.0,✓,✗,(✓),✓,14.53 ± 2.20 / 36.66 ± 1.70@@14.53,68.40 ± 1.14 / 68.46 ± 1.06@@68.40,8.15 ± 3.27 / 53.38 ± 2.02@@8.15,36.12 ± 1.13 / 24.52 ± 1.06@@36.12,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0
<a href='https://hf.co/allenai/OLMo-2-1124-13B-Instruct'>allenai/OLMo-2-1124-13B-Instruct</a>,📝,-@@100,?,13716198400.0,100352.0,4096.0,✓,✗,(✓),✓,69.45 ± 0.62 / 68.05 ± 0.77@@69.45,70.14 ± 0.69 / 54.93 ± 0.75@@70.14,48.67 ± 1.45 / 73.26 ± 0.80@@48.67,83.61 ± 0.90 / 66.40 ± 1.69@@83.61,-@@-1,76.94 ± 1.08 / 83.03 ± 0.79@@76.94,59.24 ± 0.85 / 68.54 ± 0.63@@59.24,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,-@@0,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,-@@100,?,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,36.77 ± 15.46 / 44.73 ± 14.84@@36.77,53.05 ± 0.87 / 42.27 ± 0.66@@53.05,38.86 ± 1.71 / 69.28 ± 0.89@@38.86,61.58 ± 0.86 / 48.85 ± 0.89@@61.58,-@@-1,66.72 ± 1.74 / 75.23 ± 1.27@@66.72,18.75 ± 0.77 / 38.92 ± 0.59@@18.75,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat</a>,📝,-@@100,?,619570176.0,151936.0,32768.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,10.48 ± 1.89 / 37.44 ± 1.37@@10.48,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B</a>,📝,-@@100,?,619570176.0,151936.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-1.49 ± 1.60 / 27.56 ± 0.89@@-1.49,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-1.8B-Chat'>Qwen/Qwen1.5-1.8B-Chat</a>,📝,-@@100,?,1836828672.0,151936.0,32768.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,44.42 ± 2.39 / 57.19 ± 2.18@@44.42,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-1.8B'>Qwen/Qwen1.5-1.8B</a>,📝,-@@100,?,1836828672.0,151936.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,19.09 ± 2.16 / 33.85 ± 1.29@@19.09,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat</a>,📝,-@@100,?,14167290880.0,152064.0,32768.0,✗,✗,(✓),✓,64.59 ± 1.08 / 71.67 ± 0.67@@64.59,71.64 ± 1.18 / 63.78 ± 0.87@@71.64,37.06 ± 2.20 / 68.25 ± 1.01@@37.06,81.53 ± 1.09 / 62.75 ± 1.88@@81.53,-@@-1,76.54 ± 1.11 / 82.75 ± 0.78@@76.54,72.85 ± 0.85 / 79.61 ± 0.64@@72.85,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.10.1.dev0@@151001,15.3.1@@150301
<a href='https://hf.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B</a>,📝,-@@100,?,14167290880.0,152064.0,32768.0,✓,✗,(✓),✓,52.89 ± 0.97 / 63.99 ± 0.82@@52.89,65.21 ± 0.81 / 43.95 ± 0.58@@65.21,21.88 ± 1.09 / 54.64 ± 0.94@@21.88,20.92 ± 0.22 / 0.00 ± 0.00@@20.92,-@@-1,77.01 ± 1.25 / 82.91 ± 0.89@@77.01,64.26 ± 0.84 / 72.01 ± 0.77@@64.26,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.10.1.dev0@@151001,15.3.1@@150301
<a href='https://hf.co/Qwen/Qwen1.5-4B-Chat'>Qwen/Qwen1.5-4B-Chat</a>,📝,-@@100,?,3950369280.0,151936.0,32768.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,64.30 ± 1.00 / 72.83 ± 0.73@@64.30,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Qwen/Qwen1.5-4B'>Qwen/Qwen1.5-4B</a>,📝,-@@100,?,3950369280.0,151936.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,62.85 ± 1.60 / 71.35 ± 1.34@@62.85,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,-@@100,0.11,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,63.43 ± 1.03 / 66.91 ± 1.24@@63.43,55.35 ± 1.69 / 48.25 ± 0.97@@55.35,20.72 ± 1.67 / 59.83 ± 1.02@@20.72,83.18 ± 0.87 / 71.38 ± 1.11@@83.18,-@@-1,67.36 ± 1.66 / 76.00 ± 1.21@@67.36,52.90 ± 0.75 / 64.65 ± 0.56@@52.90,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,-@@100,21.45,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,42.77 ± 0.05 / 46.12 ± 0.05@@42.77,94.94 ± 0.82 / 96.31 ± 0.59@@94.94,-@@-1,-@@0,-@@0,-@@0,-@@0,16.17.0.dev0@@161700,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B</a>,📝,-@@100,?,1543714304.0,151936.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,25.56 ± 2.74 / 43.79 ± 2.86@@25.56,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Qwen/QwQ-32B'>Qwen/QwQ-32B</a>,🤔,-@@100,?,32763876352.0,152064.0,40960.0,✓,✗,(✓),✓,70.14 ± 0.43 / 68.32 ± 0.88@@70.14,84.23 ± 0.96 / 75.06 ± 1.76@@84.23,45.75 ± 0.96 / 68.23 ± 0.78@@45.75,81.82 ± 0.60 / 66.71 ± 1.05@@81.82,-@@-1,90.75 ± 1.06 / 93.20 ± 0.79@@90.75,80.61 ± 1.11 / 85.27 ± 0.87@@80.61,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.10.1.dev0@@151001,15.6.1.dev0@@150601
<a href='https://hf.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico</a>,🧠,-@@100,N/A,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,1.29 ± 2.15 / 26.93 ± 2.48@@1.29,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,-@@100,N/A,3211926528.0,65536.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,32.31 ± 4.10 / 34.51 ± 4.58@@32.31,0.78 ± 1.92 / 23.42 ± 2.47@@0.78,-@@-1,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct</a>,📝,-@@100,?,70553706496.0,128256.0,8192.0,✓,✗,(✓),✗,68.52 ± 1.19 / 72.72 ± 1.03@@68.52,73.92 ± 2.14 / 67.83 ± 1.20@@73.92,56.21 ± 1.65 / 77.51 ± 1.18@@56.21,79.10 ± 0.60 / 55.41 ± 1.53@@79.10,-@@-1,80.07 ± 2.09 / 85.25 ± 1.54@@80.07,81.24 ± 0.83 / 85.79 ± 0.66@@81.24,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,-@@100,?,70553706496.0,128256.0,8192.0,✓,✗,(✓),✗,68.75 ± 1.25 / 72.99 ± 0.97@@68.75,79.00 ± 1.91 / 74.96 ± 1.10@@79.00,56.76 ± 1.84 / 77.80 ± 1.20@@56.76,82.71 ± 0.73 / 63.40 ± 2.06@@82.71,-@@-1,87.53 ± 0.98 / 90.90 ± 0.70@@87.53,82.82 ± 0.55 / 87.00 ± 0.43@@82.82,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,-@@0,15.11.0@@151100,15.11.0@@151100
<a href='https://hf.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B</a>,🧠,-@@100,N/A,14030361600.0,131072.0,4096.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,2.77 ± 1.56 / 29.59 ± 1.50@@2.77,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B</a>,🧠,-@@100,N/A,33119034368.0,131072.0,4096.0,✓,✗,✗,✓,64.45 ± 1.41 / 61.45 ± 1.55@@64.45,46.20 ± 5.62 / 43.11 ± 5.57@@46.20,19.05 ± 1.30 / 56.57 ± 1.95@@19.05,78.27 ± 1.98 / 68.12 ± 2.27@@78.27,-@@-1,26.59 ± 2.51 / 46.09 ± 2.43@@26.59,1.66 ± 1.42 / 26.56 ± 0.88@@1.66,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.10.1.dev0@@151001,15.3.1@@150301
<a href='https://hf.co/LumiOpen/Viking-7B'>LumiOpen/Viking-7B</a>,🧠,-@@100,N/A,7550013440.0,131072.0,4096.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.28 ± 1.79 / 25.94 ± 2.05@@0.28,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/MaLA-LM/emma-500-llama2-7b'>MaLA-LM/emma-500-llama2-7b</a>,🧠,-@@100,N/A,6738415616.0,32000.0,4096.0,✓,✗,(✓),✗,62.76 ± 1.78 / 66.66 ± 1.73@@62.76,41.74 ± 4.37 / 38.93 ± 3.85@@41.74,8.23 ± 2.10 / 46.83 ± 3.62@@8.23,83.69 ± 0.84 / 74.57 ± 1.12@@83.69,-@@-1,-@@-1,-@@-1,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B-alpaca'>NbAiLab/nb-gpt-j-6B-alpaca</a>,🧠,-@@100,N/A,6055077088.0,50400.0,2048.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,5.03 ± 1.80 / 26.19 ± 1.79@@5.03,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B-v2'>NbAiLab/nb-gpt-j-6B-v2</a>,🧠,-@@100,N/A,6050882784.0,50400.0,2048.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-0.37 ± 1.88 / 24.20 ± 2.59@@-0.37,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta</a>,📝,-@@100,?,7241748480.0,32002.0,8192.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,76.92 ± 2.17 / 82.75 ± 1.61@@76.92,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/NorwAI/NorwAI-Mistral-7B'>NorwAI/NorwAI-Mistral-7B</a>,🧠,-@@100,N/A,7536586752.0,67993.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.41 ± 2.04 / 36.37 ± 1.73@@14.41,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct</a>,📝,-@@100,?,46997647360.0,67993.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,80.84 ± 1.01 / 85.84 ± 0.75@@80.84,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B</a>,🧠,-@@100,N/A,46997647360.0,67993.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,80.78 ± 1.48 / 85.43 ± 1.23@@80.78,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
