<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
<a href='https://hf.co/KBLab/electra-small-swedish-cased-discriminator'>KBLab/electra-small-swedish-cased-discriminator</a>,🔍,-@@100,N/A,16084098.0,50325.0,512.0,✓,✗,21.48 ± 1.76 / 39.08 ± 2.35@@21.48,-@@-1,26.99 ± 2.37 / 62.28 ± 0.96@@26.99,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/KBLab/megatron-bert-base-swedish-cased-125k'>KBLab/megatron-bert-base-swedish-cased-125k</a>,🔍,-@@100,N/A,135357824.0,64128.0,512.0,✓,✗,31.95 ± 1.99 / 54.08 ± 1.38@@31.95,49.70 ± 1.84 / 48.86 ± 1.57@@49.70,12.96 ± 2.16 / 54.71 ± 1.29@@12.96,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/KBLab/megatron-bert-base-swedish-cased-600k'>KBLab/megatron-bert-base-swedish-cased-600k</a>,🔍,-@@100,N/A,135357824.0,64128.0,512.0,✓,✗,37.16 ± 2.13 / 57.58 ± 1.58@@37.16,54.21 ± 2.29 / 51.26 ± 1.87@@54.21,10.92 ± 1.96 / 53.36 ± 2.06@@10.92,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/KBLab/megatron-bert-large-swedish-cased-110k'>KBLab/megatron-bert-large-swedish-cased-110k</a>,🔍,-@@100,N/A,369556482.0,64128.0,512.0,✓,✗,39.20 ± 1.69 / 59.33 ± 1.23@@39.20,60.18 ± 2.71 / 57.15 ± 2.47@@60.18,26.68 ± 3.38 / 59.41 ± 2.16@@26.68,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/KBLab/megatron-bert-large-swedish-cased-165k'>KBLab/megatron-bert-large-swedish-cased-165k</a>,🔍,-@@100,N/A,369621120.0,64128.0,512.0,✓,✗,34.91 ± 2.19 / 55.65 ± 1.89@@34.91,56.51 ± 4.34 / 51.64 ± 4.31@@56.51,15.74 ± 2.30 / 55.90 ± 2.51@@15.74,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B</a>,🤔,-@@100,?,3075098624.0,128256.0,65536.0,✓,✗,34.94 ± 3.89 / 51.31 ± 4.45@@34.94,43.26 ± 2.09 / 36.23 ± 2.58@@43.26,15.81 ± 1.91 / 53.12 ± 1.95@@15.81,-@@-1,62.22 ± 1.29 / 13.35 ± 1.75@@62.22,12.48 ± 1.28 / 33.99 ± 0.96@@12.48,34.78 ± 2.68 / 56.50 ± 1.56@@34.78,19.18 ± 1.62 / 39.09 ± 1.14@@19.18,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.11.0.dev0@@151100,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/HPLT/hplt2c_nob_checkpoints'>HPLT/hplt2c_nob_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,5.74 ± 4.99 / 25.23 ± 3.51@@5.74,5.40 ± 2.44 / 4.57 ± 2.10@@5.40,-0.00 ± 0.00 / 33.18 ± 0.28@@-0.00,-@@-1,56.66 ± 1.18 / 8.07 ± 0.76@@56.66,0.21 ± 1.61 / 24.75 ± 1.71@@0.21,0.03 ± 3.40 / 35.39 ± 1.91@@0.03,-0.15 ± 1.21 / 24.68 ± 0.54@@-0.15,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HPLT/hplt2c_nno_checkpoints'>HPLT/hplt2c_nno_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,-0.72 ± 0.94 / 18.42 ± 1.31@@-0.72,1.55 ± 1.08 / 1.29 ± 0.86@@1.55,-0.25 ± 1.03 / 38.85 ± 3.43@@-0.25,-@@-1,54.82 ± 1.47 / 8.07 ± 0.39@@54.82,0.42 ± 0.86 / 23.19 ± 1.01@@0.42,3.74 ± 2.51 / 35.16 ± 1.61@@3.74,0.11 ± 1.01 / 25.42 ± 0.48@@0.11,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HPLT/hplt2c_isl_checkpoints'>HPLT/hplt2c_isl_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,7.71 ± 4.25 / 30.38 ± 5.22@@7.71,0.25 ± 0.42 / 0.24 ± 0.37@@0.25,0.44 ± 1.20 / 43.96 ± 3.27@@0.44,-@@-1,51.80 ± 2.24 / 6.94 ± 0.81@@51.80,0.44 ± 1.57 / 22.66 ± 1.36@@0.44,1.20 ± 3.48 / 36.36 ± 2.31@@1.20,0.06 ± 0.88 / 25.58 ± 0.61@@0.06,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,-@@100,N/A,68977172480.0,32032.0,8192.0,✗,✗,15.59 ± 5.26 / 30.80 ± 4.95@@15.59,57.93 ± 2.12 / 37.66 ± 3.72@@57.93,-0.23 ± 0.45 / 33.17 ± 0.28@@-0.23,-@@-1,50.84 ± 0.51 / 1.07 ± 0.03@@50.84,30.76 ± 6.03 / 44.13 ± 4.57@@30.76,30.27 ± 7.49 / 49.87 ± 5.30@@30.27,5.67 ± 3.06 / 26.99 ± 1.28@@5.67,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/EuroBERT/EuroBERT-2.1B'>EuroBERT/EuroBERT-2.1B</a>,🔍,-@@100,N/A,2403092736.0,128256.0,8192.0,✓,✗,19.41 ± 2.86 / 41.69 ± 3.16@@19.41,20.87 ± 5.16 / 19.98 ± 4.95@@20.87,-1.85 ± 0.92 / 38.02 ± 3.72@@-1.85,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,N/A,310266624.0,128256.0,8192.0,✓,✗,22.29 ± 2.18 / 45.13 ± 2.20@@22.29,20.36 ± 2.83 / 19.56 ± 3.00@@20.36,0.51 ± 1.80 / 44.62 ± 2.87@@0.51,12.58 ± 2.30 / 7.41 ± 1.63@@12.58,-@@-1,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-@@100,N/A,755625600.0,128256.0,8192.0,✓,✗,22.47 ± 2.68 / 45.67 ± 2.97@@22.47,20.90 ± 6.83 / 20.93 ± 6.53@@20.90,-0.06 ± 0.93 / 42.09 ± 4.37@@-0.06,22.33 ± 1.23 / 15.94 ± 1.26@@22.33,-@@-1,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,N/A,93990500.0,65636.0,512.0,✓,✗,23.40 ± 2.09 / 43.60 ± 2.72@@23.40,36.34 ± 1.84 / 36.02 ± 2.07@@36.34,5.85 ± 2.53 / 52.50 ± 1.28@@5.85,5.42 ± 1.34 / 3.49 ± 0.91@@5.42,-@@-1,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/FacebookAI/roberta-base'>FacebookAI/roberta-base</a>,🔍,-@@100,N/A,124647170.0,50265.0,512.0,✓,✗,29.27 ± 3.00 / 51.00 ± 3.94@@29.27,-@@-1,1.18 ± 1.48 / 40.35 ± 4.04@@1.18,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/FacebookAI/xlm-mlm-100-1280'>FacebookAI/xlm-mlm-100-1280</a>,🔍,-@@100,N/A,571499522.0,200000.0,512.0,✓,✗,30.69 ± 4.27 / 52.07 ± 3.96@@30.69,-@@-1,25.09 ± 12.58 / 58.09 ± 8.16@@25.09,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/FacebookAI/xlm-mlm-17-1280'>FacebookAI/xlm-mlm-17-1280</a>,🔍,-@@100,N/A,571499522.0,200000.0,512.0,✓,✗,23.48 ± 3.40 / 44.84 ± 3.52@@23.48,-@@-1,2.35 ± 2.28 / 46.66 ± 3.09@@2.35,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,N/A,561192082.0,250002.0,512.0,✓,✗,39.45 ± 10.19 / 52.33 ± 10.33@@39.45,68.64 ± 1.99 / 64.15 ± 1.58@@68.64,42.03 ± 20.62 / 67.11 ± 13.34@@42.03,32.87 ± 1.66 / 25.71 ± 1.62@@32.87,-@@-1,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/bert-base-25lang-cased'>Geotrend/bert-base-25lang-cased</a>,🔍,-@@100,N/A,151311362.0,84985.0,512.0,✓,✗,32.88 ± 1.24 / 53.56 ± 1.47@@32.88,62.53 ± 2.60 / 58.99 ± 2.88@@62.53,29.01 ± 11.25 / 61.89 ± 6.94@@29.01,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/bert-base-da-cased'>Geotrend/bert-base-da-cased</a>,🔍,-@@100,N/A,103822082.0,23150.0,512.0,✓,✗,32.06 ± 1.44 / 52.57 ± 1.80@@32.06,62.76 ± 1.92 / 58.88 ± 1.74@@62.76,30.95 ± 11.93 / 63.72 ± 6.84@@30.95,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/bert-base-en-da-cased'>Geotrend/bert-base-en-da-cased</a>,🔍,-@@100,N/A,111180290.0,32731.0,512.0,✓,✗,33.67 ± 1.54 / 54.48 ± 1.19@@33.67,62.57 ± 1.98 / 59.39 ± 2.04@@62.57,35.79 ± 9.58 / 65.87 ± 5.46@@35.79,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/bert-base-en-fr-de-no-da-cased'>Geotrend/bert-base-en-fr-de-no-da-cased</a>,🔍,-@@100,N/A,118076162.0,41710.0,512.0,✓,✗,34.78 ± 1.49 / 55.59 ± 0.92@@34.78,63.38 ± 2.39 / 59.20 ± 1.98@@63.38,41.08 ± 7.28 / 69.77 ± 3.75@@41.08,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/bert-base-en-no-cased'>Geotrend/bert-base-en-no-cased</a>,🔍,-@@100,N/A,111441410.0,33071.0,512.0,✓,✗,33.91 ± 1.43 / 54.87 ± 1.38@@33.91,62.66 ± 1.84 / 58.60 ± 1.78@@62.66,40.96 ± 4.05 / 69.68 ± 2.12@@40.96,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,N/A,108782594.0,84985.0,512.0,✓,✗,31.81 ± 1.65 / 53.25 ± 1.65@@31.81,58.44 ± 2.08 / 55.32 ± 1.81@@58.44,34.13 ± 2.81 / 65.98 ± 2.30@@34.13,2.02 ± 1.27 / 1.42 ± 0.96@@2.02,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/distilbert-base-da-cased'>Geotrend/distilbert-base-da-cased</a>,🔍,-@@100,N/A,61293314.0,23150.0,512.0,✓,✗,32.13 ± 1.52 / 53.89 ± 1.25@@32.13,58.36 ± 1.69 / 55.30 ± 1.49@@58.36,34.75 ± 1.55 / 65.89 ± 1.56@@34.75,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/distilbert-base-en-da-cased'>Geotrend/distilbert-base-en-da-cased</a>,🔍,-@@100,N/A,68651522.0,32731.0,512.0,✓,✗,31.89 ± 1.59 / 53.99 ± 1.22@@31.89,59.50 ± 1.45 / 56.28 ± 1.67@@59.50,36.00 ± 2.27 / 67.38 ± 1.56@@36.00,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/distilbert-base-en-fr-de-no-da-cased'>Geotrend/distilbert-base-en-fr-de-no-da-cased</a>,🔍,-@@100,N/A,75547394.0,41710.0,512.0,✓,✗,31.30 ± 1.80 / 52.43 ± 1.61@@31.30,58.78 ± 1.75 / 55.50 ± 1.82@@58.78,34.92 ± 2.74 / 66.69 ± 2.11@@34.92,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Geotrend/distilbert-base-en-no-cased'>Geotrend/distilbert-base-en-no-cased</a>,🔍,-@@100,N/A,68912642.0,33071.0,512.0,✓,✗,32.95 ± 0.82 / 54.57 ± 0.80@@32.95,57.53 ± 1.89 / 54.43 ± 1.91@@57.53,33.63 ± 2.63 / 65.69 ± 1.82@@33.63,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/HPLT/gpt-13b-nordic-prerelease'>HPLT/gpt-13b-nordic-prerelease</a>,🧠,-@@100,N/A,14030361600.0,131072.0,4096.0,✓,✗,35.03 ± 4.10 / 49.92 ± 4.97@@35.03,28.78 ± 2.38 / 20.42 ± 1.24@@28.78,3.13 ± 1.66 / 46.84 ± 2.76@@3.13,-@@-1,61.81 ± 1.98 / 14.10 ± 2.17@@61.81,-1.62 ± 1.56 / 24.95 ± 1.10@@-1.62,8.75 ± 4.28 / 38.13 ± 2.57@@8.75,1.11 ± 1.15 / 25.77 ± 0.83@@1.11,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,14.4.0@@140400
<a href='https://hf.co/HPLT/gpt-33b-nordic-prerelease'>HPLT/gpt-33b-nordic-prerelease</a>,🧠,-@@100,N/A,33119034368.0,131072.0,4099.0,✓,✗,44.70 ± 1.80 / 60.56 ± 2.77@@44.70,25.35 ± 3.59 / 17.77 ± 2.25@@25.35,1.43 ± 1.60 / 34.16 ± 1.04@@1.43,-@@-1,62.23 ± 0.78 / 14.60 ± 1.38@@62.23,2.13 ± 1.91 / 23.80 ± 1.17@@2.13,6.80 ± 2.56 / 35.39 ± 1.36@@6.80,-0.19 ± 0.99 / 25.04 ± 0.66@@-0.19,12.9.1@@120901,12.9.1@@120901,12.10.0@@121000,-@@0,12.10.0@@121000,14.3.0@@140300,15.2.0.dev0@@150200,12.10.0@@121000
<a href='https://hf.co/HPLT/gpt-7b-nordic-prerelease'>HPLT/gpt-7b-nordic-prerelease</a>,🧠,-@@100,N/A,7550013440.0,131072.0,4096.0,✓,✗,37.77 ± 3.06 / 55.35 ± 4.51@@37.77,21.98 ± 3.33 / 18.42 ± 2.62@@21.98,1.26 ± 1.86 / 34.03 ± 0.86@@1.26,-@@-1,58.21 ± 1.54 / 11.61 ± 1.16@@58.21,0.00 ± 0.00 / 22.38 ± 1.18@@0.00,-0.84 ± 2.31 / 36.50 ± 1.35@@-0.84,0.00 ± 0.00 / 25.18 ± 0.77@@0.00,12.3.2@@120302,12.5.2@@120502,12.3.2@@120302,-@@0,12.6.1@@120601,14.2.0@@140200,15.2.0.dev0@@150200,12.3.2@@120302
<a href='https://hf.co/HPLT/hplt2c_dan_checkpoints'>HPLT/hplt2c_dan_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,0.96 ± 2.16 / 20.91 ± 1.97@@0.96,6.92 ± 4.40 / 5.77 ± 3.72@@6.92,2.99 ± 1.95 / 41.76 ± 5.09@@2.99,-@@-1,57.35 ± 1.21 / 8.00 ± 1.05@@57.35,3.16 ± 1.93 / 27.82 ± 1.66@@3.16,2.70 ± 2.64 / 36.21 ± 1.88@@2.70,0.03 ± 0.96 / 25.07 ± 0.84@@0.03,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/DGurgurov/xlm-r_dan-latn'>DGurgurov/xlm-r_dan-latn</a>,🔍,-@@100,N/A,278295186.0,250002.0,512.0,✓,✗,46.90 ± 2.49 / 64.11 ± 1.93@@46.90,67.65 ± 1.78 / 64.31 ± 1.60@@67.65,55.82 ± 9.17 / 74.30 ± 7.66@@55.82,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,-@@100,?,14768307200.0,151936.0,40960.0,✓,✗,55.52 ± 1.48 / 70.66 ± 0.99@@55.52,52.36 ± 1.61 / 39.61 ± 1.72@@52.36,50.88 ± 1.52 / 72.65 ± 1.08@@50.88,-@@-1,64.54 ± 0.12 / 14.16 ± 0.22@@64.54,64.58 ± 2.26 / 73.38 ± 1.70@@64.58,81.69 ± 1.37 / 87.79 ± 0.91@@81.69,61.53 ± 1.26 / 70.91 ± 0.97@@61.53,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,-@@0,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://hf.co/birgermoell/WestLake-Munin-Cat-NorskGPT'>birgermoell/WestLake-Munin-Cat-NorskGPT</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,19.76 ± 0.86 / 38.92 ± 0.84@@19.76,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,14.2.0@@140200,-@@0,-@@0
<a href='https://hf.co/birgermoell/roberta-swedish-scandi'>birgermoell/roberta-swedish-scandi</a>,🔍,-@@100,N/A,124647170.0,50265.0,512.0,✓,✗,33.51 ± 1.46 / 54.93 ± 1.21@@33.51,49.22 ± 1.85 / 47.83 ± 1.59@@49.22,12.08 ± 8.71 / 54.24 ± 4.71@@12.08,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/birgermoell/roberta-swedish'>birgermoell/roberta-swedish</a>,🔍,-@@100,N/A,124647170.0,50265.0,512.0,✓,✗,35.54 ± 0.87 / 56.97 ± 0.53@@35.54,-@@-1,20.59 ± 9.60 / 58.61 ± 4.99@@20.59,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,-@@100,N/A,23575680000.0,131072.0,32768.0,✓,✗,51.07 ± 1.45 / 60.24 ± 2.31@@51.07,61.84 ± 1.68 / 42.69 ± 2.95@@61.84,52.02 ± 1.92 / 75.58 ± 1.28@@52.02,-@@-1,67.74 ± 0.37 / 22.55 ± 0.90@@67.74,76.51 ± 1.68 / 82.20 ± 1.29@@76.51,86.89 ± 1.01 / 91.22 ± 0.68@@86.89,59.61 ± 1.51 / 68.75 ± 1.33@@59.61,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/cardiffnlp/twitter-xlm-roberta-base'>cardiffnlp/twitter-xlm-roberta-base</a>,🔍,-@@100,N/A,278045186.0,250002.0,512.0,✓,✗,45.30 ± 2.03 / 63.22 ± 1.47@@45.30,70.10 ± 1.16 / 64.54 ± 1.00@@70.10,51.74 ± 2.53 / 74.31 ± 1.94@@51.74,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,63.61 ± 1.57 / 76.00 ± 1.07@@63.61,65.88 ± 2.11 / 55.11 ± 1.59@@65.88,71.03 ± 2.52 / 85.46 ± 1.24@@71.03,-@@-1,64.60 ± 0.17 / 13.66 ± 0.33@@64.60,86.46 ± 2.08 / 90.16 ± 1.58@@86.46,100.00 ± 0.00 / 100.00 ± 0.00@@100.00,71.83 ± 1.23 / 78.71 ± 0.99@@71.83,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,-@@0,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,63.22 ± 1.45 / 75.59 ± 1.04@@63.22,56.85 ± 2.91 / 42.32 ± 2.08@@56.85,70.81 ± 2.51 / 85.28 ± 1.28@@70.81,-@@-1,64.32 ± 0.19 / 13.64 ± 0.31@@64.32,85.09 ± 1.74 / 89.06 ± 1.37@@85.09,94.96 ± 2.44 / 96.56 ± 1.73@@94.96,73.70 ± 2.15 / 79.84 ± 1.70@@73.70,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,-@@0,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/birgermoell/WestLake-Munin-Cat-NorskGPT'>birgermoell/WestLake-Munin-Cat-NorskGPT (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✗,✓,44.53 ± 2.84 / 48.21 ± 2.59@@44.53,53.02 ± 2.51 / 39.46 ± 2.24@@53.02,0.16 ± 2.81 / 34.10 ± 0.86@@0.16,-@@-1,68.19 ± 0.37 / 24.13 ± 0.82@@68.19,25.84 ± 5.77 / 42.03 ± 4.64@@25.84,71.56 ± 4.21 / 80.55 ± 3.14@@71.56,35.95 ± 3.73 / 51.52 ± 2.90@@35.95,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,?,200000.0,✓,✗,58.33 ± 2.02 / 71.04 ± 1.46@@58.33,72.62 ± 1.74 / 62.94 ± 1.80@@72.62,76.38 ± 2.95 / 88.08 ± 1.50@@76.38,-@@-1,64.41 ± 0.16 / 13.46 ± 0.27@@64.41,85.22 ± 2.79 / 89.22 ± 2.21@@85.22,100.00 ± 0.00 / 100.00 ± 0.00@@100.00,77.44 ± 1.94 / 83.01 ± 1.48@@77.44,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
