<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.86@@3.86,1195468800.0,65536.0,2048.0,✓,✗,4.85 ± 3.82 / 24.70 ± 6.19@@4.85,37.72 ± 1.89 / 37.72 ± 1.89@@37.72,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,22.27 ± 2.28 / 10.88 ± 2.08@@22.27,0.96 ± 1.48 / 25.97 ± 1.21@@0.96,0.10 ± 1.93 / 49.18 ± 0.79@@0.10,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.87@@3.87,1235814400.0,128256.0,131072.0,✓,✗,9.68 ± 2.92 / 25.51 ± 4.75@@9.68,37.21 ± 2.40 / 37.21 ± 2.40@@37.21,1.38 ± 2.27 / 38.72 ± 4.67@@1.38,10.85 ± 0.73 / 0.04 ± 0.08@@10.85,1.42 ± 1.34 / 25.91 ± 1.02@@1.42,1.62 ± 1.68 / 50.03 ± 1.14@@1.62,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.88@@3.88,3211926528.0,65536.0,4096.0,✓,✗,6.54 ± 2.57 / 24.95 ± 3.43@@6.54,24.18 ± 7.32 / 24.18 ± 7.32@@24.18,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,28.01 ± 2.35 / 16.07 ± 2.66@@28.01,2.05 ± 1.17 / 26.10 ± 0.74@@2.05,0.56 ± 2.17 / 49.30 ± 0.53@@0.56,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.92@@3.92,2611528704.0,128000.0,4096.0,✓,✗,16.39 ± 3.51 / 28.61 ± 3.20@@16.39,10.11 ± 1.96 / 10.11 ± 1.96@@10.11,3.12 ± 2.14 / 43.07 ± 3.78@@3.12,39.56 ± 1.48 / 19.08 ± 1.80@@39.56,1.79 ± 1.30 / 26.54 ± 0.92@@1.79,-1.30 ± 1.97 / 49.02 ± 0.79@@-1.30,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,3.96@@3.96,1170340608.0,65536.0,128000.0,✗,✗,12.13 ± 3.49 / 32.80 ± 4.29@@12.13,29.15 ± 4.17 / 29.15 ± 4.17@@29.15,-0.30 ± 0.72 / 37.31 ± 3.90@@-0.30,6.68 ± 0.40 / 0.00 ± 0.00@@6.68,0.22 ± 1.17 / 24.38 ± 0.62@@0.22,0.29 ± 2.74 / 50.14 ± 1.39@@0.29,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,3.99@@3.99,?,103424.0,131072.0,✓,✗,9.91 ± 2.56 / 25.34 ± 3.57@@9.91,27.53 ± 2.28 / 27.53 ± 2.28@@27.53,-0.28 ± 1.58 / 46.61 ± 2.03@@-0.28,14.73 ± 2.57 / 5.73 ± 1.44@@14.73,-0.33 ± 1.29 / 25.17 ± 0.96@@-0.33,-1.42 ± 2.06 / 49.20 ± 0.97@@-1.42,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.99@@3.99,2611528704.0,128000.0,4096.0,✓,✗,1.62 ± 1.36 / 16.86 ± 0.34@@1.62,14.50 ± 3.34 / 14.50 ± 3.34@@14.50,-0.34 ± 1.30 / 39.63 ± 3.24@@-0.34,44.58 ± 1.36 / 27.83 ± 1.75@@44.58,0.26 ± 0.72 / 25.13 ± 0.57@@0.26,0.75 ± 2.46 / 49.04 ± 0.82@@0.75,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.04@@4.04,268098176.0,262144.0,32768.0,✓,✗,10.28 ± 4.49 / 23.29 ± 4.08@@10.28,22.83 ± 5.38 / 22.83 ± 5.38@@22.83,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,7.82 ± 0.67 / 1.61 ± 0.44@@7.82,-1.31 ± 1.12 / 24.26 ± 0.70@@-1.31,0.36 ± 1.64 / 49.56 ± 1.07@@0.36,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,4.08@@4.08,1170340608.0,65536.0,128000.0,✗,✗,3.14 ± 2.05 / 29.60 ± 2.67@@3.14,30.19 ± 1.39 / 30.19 ± 1.39@@30.19,0.24 ± 1.80 / 43.56 ± 3.40@@0.24,4.79 ± 0.67 / 0.00 ± 0.00@@4.79,0.27 ± 1.39 / 24.53 ± 0.89@@0.27,-0.60 ± 1.92 / 50.78 ± 0.82@@-0.60,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,4.10@@4.10,1170340608.0,65536.0,128000.0,✗,✗,9.88 ± 2.19 / 37.30 ± 1.34@@9.88,17.44 ± 1.26 / 17.44 ± 1.26@@17.44,1.77 ± 1.55 / 49.20 ± 1.37@@1.77,1.79 ± 0.68 / 0.06 ± 0.06@@1.79,6.74 ± 1.06 / 30.11 ± 0.79@@6.74,0.37 ± 2.53 / 50.28 ± 1.26@@0.37,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.12@@4.12,353424384.0,65536.0,2048.0,✓,✗,3.12 ± 2.37 / 22.29 ± 1.93@@3.12,26.15 ± 2.82 / 26.15 ± 2.82@@26.15,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,3.68 ± 0.75 / 0.85 ± 0.45@@3.68,0.10 ± 0.88 / 24.72 ± 0.64@@0.10,-0.20 ± 2.27 / 49.34 ± 1.19@@-0.20,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.16@@4.16,268098176.0,262144.0,32768.0,✓,✗,6.10 ± 3.70 / 26.87 ± 3.74@@6.10,14.58 ± 3.55 / 14.58 ± 3.55@@14.58,0.61 ± 0.97 / 36.64 ± 3.27@@0.61,4.70 ± 0.29 / 0.00 ± 0.00@@4.70,-0.76 ± 0.79 / 24.55 ± 0.57@@-0.76,-0.27 ± 1.02 / 49.93 ± 0.93@@-0.27,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.16@@4.16,354483968.0,65536.0,128000.0,✗,✗,5.06 ± 1.94 / 25.52 ± 3.10@@5.06,22.76 ± 2.00 / 22.76 ± 2.00@@22.76,1.28 ± 1.86 / 39.49 ± 4.29@@1.28,2.74 ± 0.29 / 0.14 ± 0.16@@2.74,0.73 ± 0.84 / 25.01 ± 0.63@@0.73,-2.68 ± 3.28 / 48.31 ± 1.29@@-2.68,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.16@@4.16,361821120.0,49152.0,8192.0,✓,✗,3.53 ± 2.70 / 25.02 ± 4.31@@3.53,20.37 ± 3.68 / 20.37 ± 3.68@@20.37,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,4.95 ± 0.36 / 0.00 ± 0.00@@4.95,-0.53 ± 0.77 / 24.71 ± 0.49@@-0.53,0.03 ± 1.02 / 49.52 ± 0.84@@0.03,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.18@@4.18,361821120.0,49152.0,8192.0,✓,✗,-1.43 ± 2.24 / 20.83 ± 1.47@@-1.43,21.36 ± 2.83 / 21.36 ± 2.83@@21.36,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,4.44 ± 0.70 / 1.57 ± 0.56@@4.44,1.89 ± 1.11 / 25.49 ± 0.42@@1.89,0.32 ± 2.37 / 49.38 ± 0.77@@0.32,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.20@@4.20,107908288.0,65536.0,262144.0,✓,✗,2.27 ± 2.81 / 25.52 ± 3.69@@2.27,15.97 ± 2.91 / 15.97 ± 2.91@@15.97,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,3.56 ± 0.63 / 0.57 ± 0.25@@3.56,1.27 ± 1.30 / 25.23 ± 0.76@@1.27,-1.11 ± 1.49 / 49.01 ± 0.76@@-1.11,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.22@@4.22,134515008.0,49152.0,8192.0,✓,✗,-0.19 ± 0.37 / 17.08 ± 0.25@@-0.19,20.09 ± 4.30 / 20.09 ± 4.30@@20.09,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,2.45 ± 0.53 / 0.33 ± 0.21@@2.45,-0.20 ± 1.43 / 24.24 ± 0.74@@-0.20,-0.77 ± 1.21 / 49.07 ± 0.79@@-0.77,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.22@@4.22,1170340608.0,65536.0,128000.0,✗,✗,8.17 ± 1.96 / 29.10 ± 2.80@@8.17,9.82 ± 1.90 / 9.82 ± 1.90@@9.82,-0.06 ± 1.67 / 39.11 ± 2.74@@-0.06,7.66 ± 0.74 / 0.57 ± 0.51@@7.66,1.59 ± 0.74 / 25.86 ± 0.39@@1.59,-1.44 ± 1.88 / 49.58 ± 1.12@@-1.44,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.23@@4.23,107908288.0,65536.0,262144.0,✓,✗,0.57 ± 0.96 / 16.99 ± 0.37@@0.57,16.76 ± 2.93 / 16.76 ± 2.93@@16.76,0.06 ± 1.15 / 34.51 ± 1.39@@0.06,4.96 ± 0.42 / 1.61 ± 0.42@@4.96,0.58 ± 1.00 / 24.78 ± 0.41@@0.58,0.00 ± 0.00 / 49.12 ± 0.75@@0.00,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.24@@4.24,742489344.0,65536.0,128000.0,✗,✗,0.66 ± 0.67 / 17.51 ± 0.87@@0.66,17.04 ± 1.68 / 17.04 ± 1.68@@17.04,-0.54 ± 0.58 / 36.15 ± 2.69@@-0.54,5.79 ± 0.39 / 0.12 ± 0.15@@5.79,-0.92 ± 0.71 / 24.86 ± 0.53@@-0.92,0.00 ± 0.00 / 49.12 ± 0.75@@0.00,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.26@@4.26,134515008.0,49152.0,8192.0,✓,✗,-0.00 ± 0.01 / 16.24 ± 0.31@@-0.00,18.76 ± 3.36 / 18.76 ± 3.36@@18.76,-0.45 ± 0.62 / 34.48 ± 1.00@@-0.45,1.95 ± 0.24 / 0.00 ± 0.00@@1.95,-0.33 ± 1.28 / 24.44 ± 0.94@@-0.33,1.31 ± 2.74 / 50.46 ± 1.47@@1.31,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.43@@4.43,320956992.0,65536.0,4096.0,✓,✗,-0.08 ± 1.66 / 22.07 ± 2.33@@-0.08,2.47 ± 1.34 / 2.47 ± 1.34@@2.47,-0.50 ± 1.89 / 48.22 ± 1.46@@-0.50,0.92 ± 0.18 / 0.00 ± 0.00@@0.92,0.69 ± 1.41 / 25.59 ± 0.80@@0.69,0.12 ± 1.52 / 50.12 ± 0.86@@0.12,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.44@@4.44,56656128.0,8192.0,2048.0,✓,✗,0.75 ± 2.61 / 21.26 ± 2.72@@0.75,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,0.84 ± 0.17 / 0.00 ± 0.00@@0.84,-0.47 ± 1.32 / 24.21 ± 0.78@@-0.47,-0.29 ± 0.46 / 50.33 ± 0.68@@-0.29,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,117654272.0,250037.0,512.0,✓,✗,33.31 ± 6.96 / 53.10 ± 7.61@@33.31,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,16.4.0.dev0@@160400,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,-@@100,140645001.0,256000.0,8192.0,✓,✗,22.82 ± 3.69 / 47.42 ± 2.84@@22.82,54.36 ± 2.31 / 54.34 ± 2.27@@54.36,38.97 ± 5.16 / 68.92 ± 2.68@@38.97,18.90 ± 1.84 / 12.27 ± 1.62@@18.90,-@@-1,-@@-1,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,-@@0,-@@0
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,310266624.0,128256.0,8192.0,✓,✗,13.32 ± 2.93 / 37.78 ± 3.53@@13.32,28.94 ± 5.65 / 28.94 ± 5.66@@28.94,3.15 ± 1.78 / 48.76 ± 2.80@@3.15,12.72 ± 1.99 / 6.75 ± 1.27@@12.72,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-@@100,755625600.0,128256.0,8192.0,✓,✗,14.09 ± 3.10 / 38.10 ± 2.39@@14.09,21.56 ± 7.88 / 21.48 ± 7.90@@21.56,1.73 ± 2.53 / 41.75 ± 4.58@@1.73,21.11 ± 1.65 / 13.08 ± 1.38@@21.11,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,93990500.0,65636.0,512.0,✓,✗,12.70 ± 1.91 / 40.51 ± 1.53@@12.70,21.90 ± 3.92 / 21.90 ± 3.92@@21.90,2.80 ± 1.96 / 50.69 ± 0.99@@2.80,2.95 ± 1.07 / 1.26 ± 0.58@@2.95,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,561192082.0,250002.0,512.0,✓,✗,54.98 ± 1.68 / 68.72 ± 1.13@@54.98,63.89 ± 2.06 / 63.89 ± 2.06@@63.89,28.11 ± 18.84 / 57.90 ± 12.34@@28.11,28.91 ± 2.28 / 20.95 ± 2.03@@28.91,-@@-1,-@@-1,16.5.0.dev0@@160500,16.6.0.dev0@@160600,16.5.0.dev0@@160500,16.6.0.dev0@@160600,-@@0,-@@0
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,108867577.0,84985.0,512.0,✓,✗,10.48 ± 3.96 / 38.13 ± 3.40@@10.48,48.78 ± 3.31 / 48.78 ± 3.31@@48.78,4.05 ± 3.32 / 45.52 ± 6.27@@4.05,0.33 ± 0.64 / 0.21 ± 0.42@@0.33,-@@-1,-@@-1,16.5.0.dev0@@160500,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,-@@0,-@@0
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,-@@100,307537161.0,256000.0,8192.0,✓,✗,38.31 ± 2.60 / 57.40 ± 2.03@@38.31,51.28 ± 3.85 / 51.30 ± 3.83@@51.28,46.98 ± 6.18 / 73.07 ± 3.28@@46.98,26.08 ± 0.95 / 17.61 ± 0.81@@26.08,-@@-1,-@@-1,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,-@@0,-@@0
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-@@100,559890946.0,250002.0,512.0,✓,✗,61.12 ± 1.76 / 73.61 ± 1.08@@61.12,54.27 ± 2.79 / 54.27 ± 2.79@@54.27,41.61 ± 7.51 / 69.70 ± 3.62@@41.61,29.81 ± 1.57 / 21.39 ± 1.68@@29.81,-@@-1,-@@-1,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,-@@0,-@@0
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-@@100,278811651.0,251000.0,512.0,✓,✗,26.61 ± 10.33 / 45.94 ± 10.23@@26.61,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,16.4.0.dev0@@160400,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,47.62 ± 1.99 / 63.67 ± 1.68@@47.62,60.54 ± 3.59 / 60.54 ± 3.59@@60.54,17.97 ± 8.67 / 58.12 ± 4.15@@17.97,14.45 ± 1.78 / 9.07 ± 1.42@@14.45,-@@-1,-@@-1,16.5.0.dev0@@160500,16.6.0.dev0@@160600,16.5.0.dev0@@160500,16.5.0.dev0@@160500,-@@0,-@@0
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,-@@100,574602505.0,250300.0,512.0,✓,✗,27.06 ± 13.28 / 47.30 ± 11.39@@27.06,47.03 ± 1.95 / 47.03 ± 1.95@@47.03,26.89 ± 12.47 / 61.15 ± 8.55@@26.89,34.24 ± 0.94 / 26.17 ± 1.06@@34.24,-@@-1,-@@-1,16.5.0.dev0@@160500,16.6.0.dev0@@160600,16.5.0.dev0@@160500,16.5.0.dev0@@160500,-@@0,-@@0
fresh-xlm-roberta-base,🔍,-@@100,278885778.0,250002.0,512.0,✓,✗,7.77 ± 1.74 / 25.79 ± 2.88@@7.77,1.86 ± 1.76 / 1.86 ± 1.76@@1.86,0.84 ± 1.19 / 39.21 ± 4.29@@0.84,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,-@@0,-@@0
fresh-electra-small,🔍,-@@100,13738755.0,32000.0,128.0,✓,✗,3.34 ± 3.20 / 21.96 ± 5.18@@3.34,0.61 ± 1.19 / 0.61 ± 1.19@@0.61,-0.23 ± 0.45 / 33.33 ± 0.27@@-0.23,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,-@@0,-@@0
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,-@@100,395881664.0,50368.0,8192.0,✓,✗,8.10 ± 1.72 / 34.84 ± 3.82@@8.10,36.54 ± 3.45 / 36.54 ± 3.45@@36.54,3.34 ± 2.15 / 49.16 ± 1.92@@3.34,10.37 ± 1.38 / 4.94 ± 0.86@@10.37,-@@-1,-@@-1,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,-@@0,-@@0
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-@@100,149655232.0,50368.0,8192.0,✓,✗,9.83 ± 2.11 / 36.26 ± 1.75@@9.83,32.86 ± 4.29 / 32.86 ± 4.29@@32.86,2.45 ± 1.10 / 47.75 ± 1.41@@2.45,8.73 ± 1.79 / 3.71 ± 1.02@@8.73,-@@-1,-@@-1,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,-@@0,-@@0
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,470927360.0,501153.0,512.0,✓,✗,45.29 ± 1.71 / 62.21 ± 1.93@@45.29,63.25 ± 2.31 / 63.25 ± 2.31@@63.25,44.33 ± 4.84 / 70.45 ± 2.77@@44.33,-@@-1,-@@-1,-@@-1,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,-@@0,-@@0,-@@0
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,-@@100,395881664.0,50368.0,8192.0,✓,✗,11.46 ± 6.06 / 38.15 ± 4.59@@11.46,29.47 ± 4.69 / 29.48 ± 4.68@@29.47,3.94 ± 2.91 / 49.83 ± 2.81@@3.94,19.28 ± 0.97 / 12.17 ± 0.90@@19.28,-@@-1,-@@-1,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,-@@0,-@@0
