<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,2.25@@2.25,N/A,7849978192.0,262400.0,?,✓,✗,93.19 ± 0.45 / 96.58 ± 0.23@@93.19,44.54 ± 3.26 / 34.39 ± 2.11@@44.54,13.50 ± 4.74 / 46.89 ± 6.17@@13.50,75.84 ± 0.98 / 58.70 ± 1.70@@75.84,64.91 ± 0.69 / 13.48 ± 0.59@@64.91,26.17 ± 1.59 / 43.10 ± 1.54@@26.17,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B</a>,🧠,2.25@@2.25,N/A,34388917248.0,64000.0,4096.0,✓,✗,91.73 ± 0.44 / 95.84 ± 0.23@@91.73,57.64 ± 1.24 / 43.09 ± 2.57@@57.64,13.66 ± 7.11 / 45.34 ± 7.21@@13.66,75.98 ± 0.80 / 59.62 ± 1.16@@75.98,63.65 ± 0.79 / 11.50 ± 0.65@@63.65,16.76 ± 1.44 / 36.59 ± 1.22@@16.76,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.26@@2.26,84.58,?,?,1047576.0,✓,✗,87.59 ± 1.16 / 93.69 ± 0.61@@87.59,42.19 ± 1.88 / 24.51 ± 1.24@@42.19,29.04 ± 1.77 / 60.59 ± 1.53@@29.04,57.21 ± 0.80 / 28.06 ± 1.35@@57.21,63.28 ± 0.12 / 7.69 ± 0.14@@63.28,42.60 ± 1.92 / 56.84 ± 1.38@@42.60,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,2.27@@2.27,?,32296476672.0,256000.0,131072.0,✗,✗,90.99 ± 0.73 / 95.45 ± 0.38@@90.99,62.28 ± 2.04 / 33.08 ± 2.33@@62.28,15.29 ± 1.86 / 56.30 ± 1.27@@15.29,68.52 ± 0.69 / 51.24 ± 1.12@@68.52,63.47 ± 0.16 / 9.69 ± 0.39@@63.47,16.36 ± 0.66 / 36.41 ± 0.44@@16.36,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,2.28@@2.28,?,110468824832.0,151552.0,131072.0,✓,✗,90.53 ± 0.80 / 95.21 ± 0.41@@90.53,63.11 ± 1.67 / 44.00 ± 1.90@@63.11,35.50 ± 1.39 / 67.52 ± 0.70@@35.50,26.51 ± 0.49 / 0.00 ± 0.00@@26.51,61.81 ± 0.10 / 7.53 ± 0.10@@61.81,44.03 ± 1.09 / 57.93 ± 0.82@@44.03,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.29@@2.29,1.11,22637328384.0,128000.0,4096.0,✓,✗,92.25 ± 0.42 / 96.10 ± 0.22@@92.25,46.97 ± 1.50 / 23.97 ± 0.95@@46.97,11.63 ± 3.40 / 40.07 ± 3.07@@11.63,66.69 ± 2.22 / 52.16 ± 2.38@@66.69,63.49 ± 0.12 / 8.92 ± 0.22@@63.49,44.38 ± 1.10 / 57.25 ± 0.92@@44.38,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,2.29@@2.29,?,14659507200.0,100352.0,16384.0,✓,✗,92.07 ± 0.62 / 95.99 ± 0.32@@92.07,59.21 ± 1.88 / 37.37 ± 2.70@@59.21,33.19 ± 2.38 / 65.10 ± 1.42@@33.19,31.90 ± 1.09 / 0.14 ± 0.06@@31.90,62.63 ± 0.04 / 7.74 ± 0.09@@62.63,37.82 ± 1.39 / 52.78 ± 1.00@@37.82,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,2.31@@2.31,?,68976648192.0,32000.0,32764.0,✓,✗,91.99 ± 0.74 / 95.95 ± 0.38@@91.99,48.48 ± 1.75 / 24.77 ± 1.43@@48.48,18.11 ± 2.48 / 53.39 ± 2.60@@18.11,60.49 ± 1.51 / 37.69 ± 2.26@@60.49,62.91 ± 0.10 / 8.32 ± 0.17@@62.91,38.44 ± 1.36 / 53.75 ± 1.04@@38.44,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.31@@2.31,0.27,32233522176.0,100278.0,65536.0,✗,✗,92.14 ± 0.25 / 96.05 ± 0.13@@92.14,49.07 ± 1.02 / 30.23 ± 2.39@@49.07,19.57 ± 2.44 / 56.21 ± 1.86@@19.57,66.82 ± 0.98 / 47.21 ± 1.54@@66.82,64.06 ± 0.10 / 10.48 ± 0.25@@64.06,21.34 ± 1.06 / 40.86 ± 0.78@@21.34,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,2.31@@2.31,0.8,27432406640.0,262144.0,?,✓,✗,90.31 ± 0.56 / 95.04 ± 0.30@@90.31,41.88 ± 0.57 / 21.77 ± 0.37@@41.88,16.05 ± 1.20 / 54.73 ± 0.64@@16.05,60.76 ± 0.40 / 39.50 ± 0.50@@60.76,63.32 ± 0.05 / 8.89 ± 0.04@@63.32,54.99 ± 0.92 / 65.90 ± 0.71@@54.99,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,2.32@@2.32,?,32296476672.0,256000.0,8192.0,✗,✗,90.78 ± 0.87 / 95.31 ± 0.46@@90.78,57.33 ± 1.97 / 34.77 ± 2.80@@57.33,8.24 ± 3.31 / 49.38 ± 4.52@@8.24,71.18 ± 0.82 / 50.46 ± 1.27@@71.18,63.21 ± 0.11 / 9.41 ± 0.26@@63.21,25.33 ± 1.18 / 43.46 ± 0.85@@25.33,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.33@@2.33,1.8,32233522176.0,100278.0,65536.0,✗,✗,92.25 ± 0.34 / 96.11 ± 0.17@@92.25,54.93 ± 1.70 / 34.32 ± 2.74@@54.93,15.65 ± 1.87 / 47.02 ± 1.59@@15.65,63.52 ± 7.12 / 46.56 ± 5.53@@63.52,64.09 ± 0.22 / 11.81 ± 0.28@@64.09,21.54 ± 0.88 / 40.82 ± 0.69@@21.54,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B</a>,🧠,2.33@@2.33,N/A,8030261248.0,128256.0,8192.0,✓,✗,92.20 ± 0.65 / 96.06 ± 0.34@@92.20,57.38 ± 1.29 / 30.57 ± 2.19@@57.38,15.78 ± 2.55 / 51.56 ± 4.45@@15.78,74.51 ± 1.65 / 57.95 ± 1.96@@74.51,61.93 ± 2.77 / 10.58 ± 1.20@@61.93,12.25 ± 1.84 / 33.51 ± 1.29@@12.25,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.34@@2.34,N/A,8030261248.0,128256.0,131072.0,✓,✗,92.40 ± 0.40 / 96.19 ± 0.20@@92.40,56.09 ± 1.59 / 31.56 ± 2.52@@56.09,13.21 ± 3.27 / 50.85 ± 5.46@@13.21,74.07 ± 1.51 / 56.96 ± 2.08@@74.07,62.05 ± 2.17 / 10.31 ± 0.97@@62.05,13.05 ± 1.37 / 34.41 ± 1.09@@13.05,16.5.0.dev0@@160500,15.9.2.dev0@@150902,16.5.0.dev0@@160500,15.9.2.dev0@@150902,15.9.2.dev0@@150902,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.35@@2.35,?,?,256128.0,1048576.0,✓,✗,88.87 ± 1.32 / 94.24 ± 0.68@@88.87,42.56 ± 1.25 / 32.72 ± 1.48@@42.56,17.87 ± 4.49 / 55.24 ± 2.60@@17.87,61.08 ± 0.71 / 46.55 ± 0.73@@61.08,63.34 ± 0.13 / 8.36 ± 0.22@@63.34,39.13 ± 0.94 / 52.73 ± 1.04@@39.13,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.35@@2.35,0.42,32233522176.0,100278.0,65536.0,✗,✗,92.08 ± 0.35 / 96.01 ± 0.18@@92.08,49.76 ± 1.24 / 31.29 ± 2.50@@49.76,18.10 ± 2.20 / 57.16 ± 1.38@@18.10,66.32 ± 1.95 / 49.09 ± 1.71@@66.32,63.30 ± 0.19 / 9.30 ± 0.24@@63.30,19.84 ± 0.96 / 39.77 ± 0.72@@19.84,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.36@@2.36,N/A,32233522176.0,100278.0,65536.0,✓,✗,90.24 ± 0.71 / 95.04 ± 0.37@@90.24,56.80 ± 1.66 / 41.53 ± 3.28@@56.80,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,75.42 ± 0.78 / 54.75 ± 1.62@@75.42,65.26 ± 0.25 / 13.85 ± 0.50@@65.26,23.02 ± 1.23 / 41.44 ± 1.10@@23.02,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,2.37@@2.37,N/A,51570323328.0,65536.0,262144.0,✓,✗,92.03 ± 0.50 / 95.99 ± 0.25@@92.03,55.01 ± 1.96 / 27.04 ± 1.55@@55.01,12.90 ± 2.02 / 52.79 ± 2.86@@12.90,71.08 ± 1.68 / 54.49 ± 2.02@@71.08,63.49 ± 0.25 / 11.77 ± 0.36@@63.49,13.27 ± 1.44 / 33.55 ± 0.93@@13.27,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.37@@2.37,8.68,4022468096.0,151936.0,40960.0,✓,✗,89.23 ± 0.52 / 94.56 ± 0.26@@89.23,50.25 ± 1.49 / 24.89 ± 1.53@@50.25,18.42 ± 1.63 / 58.05 ± 0.87@@18.42,64.08 ± 0.73 / 50.24 ± 1.30@@64.08,62.94 ± 0.06 / 8.17 ± 0.12@@62.94,24.91 ± 0.82 / 43.51 ± 0.66@@24.91,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,📝,2.37@@2.37,?,4022468096.0,151936.0,40960.0,✓,✗,89.23 ± 0.52 / 94.56 ± 0.26@@89.23,50.25 ± 1.49 / 24.88 ± 1.53@@50.25,18.42 ± 1.63 / 58.05 ± 0.87@@18.42,64.08 ± 0.73 / 50.24 ± 1.30@@64.08,62.94 ± 0.06 / 8.18 ± 0.12@@62.94,24.91 ± 0.82 / 43.51 ± 0.66@@24.91,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.37@@2.37,?,8053338176.0,131072.0,65536.0,✗,✗,91.62 ± 0.63 / 95.78 ± 0.33@@91.62,45.65 ± 1.45 / 21.28 ± 1.26@@45.65,18.98 ± 1.56 / 57.54 ± 1.42@@18.98,63.56 ± 1.11 / 48.58 ± 0.94@@63.56,63.38 ± 0.16 / 8.91 ± 0.28@@63.38,26.10 ± 1.38 / 44.58 ± 1.06@@26.10,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.39@@2.39,N/A,8053338176.0,131072.0,65536.0,✓,✗,92.69 ± 0.72 / 96.33 ± 0.37@@92.69,37.11 ± 3.91 / 23.07 ± 3.22@@37.11,18.10 ± 4.80 / 51.23 ± 6.86@@18.10,72.10 ± 1.35 / 56.23 ± 1.73@@72.10,63.96 ± 1.51 / 12.06 ± 1.18@@63.96,19.24 ± 1.06 / 38.13 ± 0.86@@19.24,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.40@@2.40,N/A,22637328384.0,128000.0,32768.0,✓,✗,91.75 ± 0.78 / 95.81 ± 0.40@@91.75,48.73 ± 1.52 / 29.41 ± 2.77@@48.73,2.29 ± 4.02 / 34.73 ± 2.72@@2.29,75.86 ± 1.26 / 60.27 ± 1.24@@75.86,64.94 ± 0.30 / 13.15 ± 0.47@@64.94,23.45 ± 2.28 / 40.63 ± 1.87@@23.45,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/LumiOpen/Poro-34B'>LumiOpen/Poro-34B</a>,🧠,2.41@@2.41,N/A,34216949760.0,128000.0,?,✓,✗,92.87 ± 0.54 / 96.42 ± 0.27@@92.87,43.32 ± 3.74 / 21.37 ± 1.96@@43.32,19.06 ± 2.67 / 56.00 ± 2.99@@19.06,70.97 ± 1.62 / 54.11 ± 2.47@@70.97,64.27 ± 1.53 / 13.36 ± 1.49@@64.27,4.29 ± 0.90 / 26.54 ± 0.56@@4.29,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.41@@2.41,0.13,8030261248.0,128256.0,131072.0,✓,✗,91.68 ± 0.63 / 95.83 ± 0.32@@91.68,50.68 ± 1.35 / 32.46 ± 1.52@@50.68,13.17 ± 2.63 / 54.94 ± 1.67@@13.17,64.17 ± 1.20 / 43.07 ± 1.51@@64.17,64.60 ± 0.12 / 11.97 ± 0.24@@64.60,18.52 ± 1.12 / 38.51 ± 0.84@@18.52,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct</a>,📝,2.42@@2.42,?,8030261248.0,128256.0,8192.0,✓,✗,91.62 ± 0.74 / 95.79 ± 0.38@@91.62,52.86 ± 1.68 / 37.60 ± 1.43@@52.86,10.81 ± 2.21 / 52.42 ± 2.28@@10.81,64.96 ± 1.38 / 49.83 ± 1.36@@64.96,63.60 ± 0.10 / 9.72 ± 0.16@@63.60,16.55 ± 1.26 / 36.87 ± 0.88@@16.55,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B</a>,📝,2.42@@2.42,?,34980831232.0,256000.0,8192.0,✗,✗,91.43 ± 0.54 / 95.67 ± 0.28@@91.43,55.76 ± 1.54 / 30.80 ± 2.84@@55.76,9.67 ± 1.80 / 51.17 ± 2.91@@9.67,70.91 ± 0.88 / 54.17 ± 1.09@@70.91,61.99 ± 0.52 / 9.35 ± 0.48@@61.99,13.60 ± 1.25 / 35.02 ± 1.06@@13.60,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.43@@2.43,9.33,8030326784.0,128264.0,131072.0,✓,✗,92.38 ± 0.51 / 96.18 ± 0.25@@92.38,51.99 ± 1.84 / 34.25 ± 1.44@@51.99,11.21 ± 1.31 / 47.87 ± 1.67@@11.21,67.11 ± 1.76 / 48.27 ± 1.60@@67.11,63.62 ± 0.24 / 11.00 ± 0.22@@63.62,11.10 ± 1.17 / 32.92 ± 0.77@@11.10,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.44@@2.44,?,21511953984.0,201088.0,131072.0,✓,✗,90.39 ± 0.82 / 95.12 ± 0.43@@90.39,49.62 ± 2.41 / 37.09 ± 1.51@@49.62,23.11 ± 1.65 / 54.06 ± 1.29@@23.11,60.68 ± 0.32 / 46.00 ± 0.72@@60.68,54.94 ± 0.98 / 6.04 ± 0.12@@54.94,38.08 ± 1.33 / 52.89 ± 1.09@@38.08,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
<a href='https://hf.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410</a>,📝,2.44@@2.44,?,8019808256.0,131072.0,32768.0,✓,✗,85.59 ± 0.90 / 92.46 ± 0.51@@85.59,52.46 ± 1.44 / 23.11 ± 1.15@@52.46,10.08 ± 1.67 / 42.50 ± 2.60@@10.08,68.69 ± 0.89 / 53.10 ± 0.99@@68.69,63.17 ± 0.07 / 8.45 ± 0.16@@63.17,21.74 ± 1.30 / 39.87 ± 1.00@@21.74,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/TildeAI/TildeOpen-30b'>TildeAI/TildeOpen-30b#slow-tokenizer</a>,🧠,2.44@@2.44,N/A,30677882880.0,131072.0,65536.0,✓,✗,93.83 ± 0.44 / 96.91 ± 0.22@@93.83,53.64 ± 2.14 / 40.95 ± 3.48@@53.64,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,70.37 ± 1.71 / 51.31 ± 2.86@@70.37,66.36 ± 0.37 / 16.21 ± 0.52@@66.36,10.69 ± 1.60 / 27.88 ± 0.49@@10.69,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.44@@2.44,0.81,32234279936.0,100352.0,4096.0,✗,✗,92.11 ± 0.66 / 96.02 ± 0.34@@92.11,55.52 ± 1.47 / 22.68 ± 0.80@@55.52,26.67 ± 0.53 / 63.13 ± 0.28@@26.67,22.87 ± 1.52 / 0.00 ± 0.00@@22.87,62.97 ± 0.07 / 9.08 ± 0.24@@62.97,42.13 ± 0.66 / 56.03 ± 0.47@@42.13,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,2.46@@2.46,?,4676271104.0,131072.0,?,✓,✗,89.31 ± 0.82 / 94.64 ± 0.42@@89.31,54.44 ± 2.21 / 31.87 ± 3.43@@54.44,10.69 ± 2.24 / 51.46 ± 2.15@@10.69,73.40 ± 1.26 / 57.80 ± 1.56@@73.40,57.15 ± 5.51 / 7.76 ± 1.40@@57.15,21.73 ± 1.00 / 40.99 ± 0.82@@21.73,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.46@@2.46,N/A,40433885184.0,256000.0,32768.0,✓,✗,90.57 ± 1.07 / 95.16 ± 0.58@@90.57,57.85 ± 1.73 / 42.05 ± 2.15@@57.85,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,72.03 ± 1.63 / 55.13 ± 2.32@@72.03,63.98 ± 0.36 / 12.99 ± 0.36@@63.98,12.06 ± 1.87 / 28.55 ± 1.08@@12.06,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B'>deepseek-ai/DeepSeek-R1-0528-Qwen3-8B</a>,🤔,2.47@@2.47,?,8190735360.0,151936.0,131072.0,✓,✗,85.53 ± 0.77 / 92.54 ± 0.43@@85.53,55.78 ± 1.91 / 35.44 ± 1.38@@55.78,15.54 ± 1.10 / 57.08 ± 0.79@@15.54,60.10 ± 0.51 / 42.79 ± 0.74@@60.10,61.74 ± 0.11 / 7.39 ± 0.11@@61.74,18.05 ± 1.55 / 38.29 ± 1.13@@18.05,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.47@@2.47,0.21,21948655808.0,103424.0,131072.0,✓,✗,89.57 ± 0.75 / 94.74 ± 0.39@@89.57,48.47 ± 1.54 / 20.73 ± 1.10@@48.47,8.86 ± 3.69 / 48.50 ± 5.58@@8.86,68.72 ± 1.37 / 51.34 ± 1.11@@68.72,62.53 ± 0.19 / 7.79 ± 0.26@@62.53,20.52 ± 1.49 / 39.96 ± 1.19@@20.52,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO</a>,📝,2.47@@2.47,?,8030326784.0,128264.0,131072.0,✓,✗,91.52 ± 0.53 / 95.73 ± 0.27@@91.52,49.33 ± 1.47 / 33.48 ± 1.12@@49.33,9.93 ± 1.21 / 39.35 ± 1.00@@9.93,62.21 ± 2.04 / 43.07 ± 1.67@@62.21,63.50 ± 0.14 / 9.10 ± 0.26@@63.50,19.00 ± 0.96 / 38.77 ± 0.72@@19.00,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,2.47@@2.47,?,4022468096.0,151936.0,262144.0,✓,✗,90.47 ± 0.48 / 95.21 ± 0.24@@90.47,47.83 ± 1.22 / 22.66 ± 1.22@@47.83,10.42 ± 1.31 / 53.39 ± 0.83@@10.42,63.04 ± 0.95 / 46.35 ± 1.16@@63.04,62.94 ± 0.06 / 8.22 ± 0.14@@62.94,27.37 ± 1.15 / 45.59 ± 0.84@@27.37,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
