<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
<a href='https://hf.co/KBLab/sentence-bert-swedish-cased'>KBLab/sentence-bert-swedish-cased</a>,🔍,-@@100,N/A,124691456.0,50325.0,512.0,✓,✗,(✓),✗,22.52 ± 6.56 / 37.04 ± 4.79@@22.52,74.25 ± 1.53 / 76.08 ± 1.36@@74.25,71.00 ± 1.02 / 73.25 ± 0.95@@71.00,0.90 ± 1.22 / 44.37 ± 4.23@@0.90,0.05 ± 1.53 / 41.48 ± 3.87@@0.05,0.03 ± 0.02 / 0.01 ± 0.02@@0.03,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-large'>KennethEnevoldsen/dfm-sentence-encoder-large</a>,🔍,-@@100,N/A,407389520.0,50000.0,512.0,✓,✗,(✓),✗,54.60 ± 3.01 / 66.46 ± 3.34@@54.60,84.54 ± 1.02 / 83.33 ± 0.71@@84.54,81.62 ± 0.95 / 80.60 ± 1.07@@81.62,57.67 ± 6.92 / 77.89 ± 3.30@@57.67,38.96 ± 7.90 / 67.89 ± 4.54@@38.96,67.96 ± 1.40 / 51.93 ± 1.31@@67.96,-@@-1,-@@-1,-@@-1,-@@-1,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,-@@100,?,32296476672.0,256000.0,8192.0,✗,✗,(✓),✗,56.06 ± 1.87 / 68.98 ± 1.86@@56.06,63.32 ± 1.67 / 46.03 ± 3.72@@63.32,67.06 ± 1.19 / 51.43 ± 3.07@@67.06,30.32 ± 2.38 / 62.53 ± 2.03@@30.32,19.93 ± 1.11 / 57.89 ± 1.45@@19.93,68.48 ± 1.97 / 38.59 ± 1.81@@68.48,-@@-1,39.53 ± 0.61 / 55.29 ± 0.45@@39.53,7.57 ± 0.84 / 30.71 ± 0.63@@7.57,66.90 ± 1.15 / 73.42 ± 0.92@@66.90,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,-@@0,15.4.1.dev0@@150401,15.10.1.dev0@@151001,15.4.1.dev0@@150401
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B</a>,🧠,-@@100,N/A,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,8.73 ± 1.81 / 29.29 ± 1.20@@8.73,0.12 ± 1.37 / 25.68 ± 0.86@@0.12,5.61 ± 1.08 / 21.65 ± 0.74@@5.61,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/HPLT/hplt2c_swe_checkpoints'>HPLT/hplt2c_swe_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,13.76 ± 3.58 / 30.09 ± 6.12@@13.76,18.41 ± 4.70 / 17.87 ± 4.62@@18.41,14.87 ± 5.12 / 13.92 ± 4.76@@14.87,-0.27 ± 1.86 / 36.06 ± 2.16@@-0.27,-0.07 ± 1.77 / 35.42 ± 1.79@@-0.07,7.03 ± 0.59 / 0.03 ± 0.04@@7.03,-@@-1,2.17 ± 0.94 / 26.10 ± 0.98@@2.17,1.36 ± 1.55 / 25.89 ± 1.13@@1.36,-1.89 ± 1.25 / 19.22 ± 0.92@@-1.89,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,-@@100,?,32296476672.0,256000.0,131072.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,40.34 ± 1.21 / 55.11 ± 0.95@@40.34,4.82 ± 0.87 / 28.67 ± 0.64@@4.82,67.37 ± 1.31 / 73.70 ± 1.05@@67.37,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,-@@100,?,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,32.13 ± 0.93 / 49.80 ± 0.73@@32.13,-1.24 ± 0.74 / 24.45 ± 0.54@@-1.24,50.40 ± 2.11 / 59.79 ± 1.75@@50.40,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/DDSC/roberta-base-danish'>DDSC/roberta-base-danish</a>,🔍,-@@100,N/A,124697947.0,50265.0,514.0,✓,✗,(✓),✗,18.99 ± 8.85 / 39.39 ± 6.62@@18.99,77.94 ± 1.41 / 78.31 ± 1.16@@77.94,72.38 ± 1.96 / 73.66 ± 1.60@@72.38,0.83 ± 1.26 / 45.22 ± 3.23@@0.83,-0.91 ± 2.28 / 46.87 ± 1.47@@-0.91,27.35 ± 6.13 / 17.59 ± 4.00@@27.35,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/DDSC/roberta-base-scandinavian'>DDSC/roberta-base-scandinavian</a>,🔍,-@@100,N/A,124647170.0,50265.0,514.0,✓,✗,(✓),✗,4.13 ± 7.63 / 27.45 ± 4.91@@4.13,62.79 ± 20.60 / 63.35 ± 20.78@@62.79,76.97 ± 1.84 / 78.37 ± 1.64@@76.97,0.38 ± 1.97 / 47.92 ± 0.92@@0.38,-0.22 ± 1.64 / 47.73 ± 2.01@@-0.22,34.87 ± 1.94 / 22.78 ± 1.34@@34.87,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/DGurgurov/xlm-r_dan-latn'>DGurgurov/xlm-r_dan-latn</a>,🔍,-@@100,N/A,278295186.0,250002.0,512.0,✓,✗,(✓),✗,43.31 ± 3.26 / 53.40 ± 5.28@@43.31,87.70 ± 0.87 / 87.75 ± 0.80@@87.70,80.25 ± 1.32 / 82.14 ± 1.09@@80.25,44.39 ± 5.87 / 68.61 ± 4.30@@44.39,13.73 ± 4.00 / 50.57 ± 5.13@@13.73,48.38 ± 2.65 / 34.39 ± 2.23@@48.38,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,-@@100,N/A,68977172480.0,32032.0,8192.0,✗,✗,(✓),✗,31.93 ± 2.30 / 39.64 ± 3.27@@31.93,64.72 ± 1.74 / 50.67 ± 1.95@@64.72,65.12 ± 1.50 / 51.38 ± 3.87@@65.12,0.00 ± 0.00 / 33.30 ± 0.21@@0.00,0.31 ± 0.61 / 32.99 ± 0.26@@0.31,4.56 ± 2.37 / 0.20 ± 0.12@@4.56,-@@-1,23.78 ± 4.77 / 39.33 ± 4.28@@23.78,0.00 ± 0.00 / 25.95 ± 0.67@@0.00,30.38 ± 9.25 / 39.66 ± 8.67@@30.38,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.10.1.dev0@@151001,15.3.1@@150301
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,N/A,310266624.0,128256.0,8192.0,✓,✗,(✓),✓,13.77 ± 3.46 / 35.42 ± 2.90@@13.77,43.19 ± 4.67 / 45.80 ± 4.98@@43.19,45.46 ± 4.99 / 47.71 ± 5.28@@45.46,1.30 ± 1.24 / 48.16 ± 3.34@@1.30,0.99 ± 2.07 / 44.94 ± 3.80@@0.99,31.47 ± 2.32 / 15.97 ± 1.79@@31.47,-@@-1,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-@@100,N/A,755625600.0,128256.0,8192.0,✓,✗,(✓),✓,11.81 ± 3.50 / 35.50 ± 3.15@@11.81,41.04 ± 11.47 / 42.41 ± 12.52@@41.04,49.68 ± 5.78 / 52.22 ± 6.11@@49.68,0.26 ± 1.51 / 38.78 ± 4.31@@0.26,0.94 ± 1.18 / 43.49 ± 4.33@@0.94,39.92 ± 1.97 / 22.18 ± 1.92@@39.92,-@@-1,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,N/A,93990500.0,65636.0,512.0,✓,✗,(✓),✓,15.63 ± 3.75 / 36.58 ± 3.22@@15.63,43.97 ± 0.77 / 43.42 ± 0.81@@43.97,38.85 ± 1.66 / 38.09 ± 1.53@@38.85,3.68 ± 1.42 / 50.60 ± 1.13@@3.68,0.44 ± 1.57 / 49.10 ± 1.12@@0.44,21.59 ± 2.36 / 12.56 ± 1.26@@21.59,-@@-1,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/HPLT/hplt2c_dan_checkpoints'>HPLT/hplt2c_dan_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,3.73 ± 1.83 / 15.72 ± 4.00@@3.73,10.05 ± 6.60 / 9.61 ± 6.38@@10.05,7.94 ± 5.21 / 7.29 ± 4.83@@7.94,0.01 ± 1.19 / 33.69 ± 0.26@@0.01,-0.08 ± 0.53 / 33.82 ± 0.32@@-0.08,6.72 ± 0.68 / 0.01 ± 0.02@@6.72,-@@-1,2.86 ± 1.19 / 27.00 ± 1.04@@2.86,0.07 ± 0.81 / 24.83 ± 0.76@@0.07,-0.42 ± 1.63 / 19.71 ± 1.09@@-0.42,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HPLT/hplt2c_isl_checkpoints'>HPLT/hplt2c_isl_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,4.39 ± 1.94 / 24.57 ± 5.33@@4.39,8.19 ± 4.25 / 7.51 ± 3.89@@8.19,4.19 ± 1.86 / 3.76 ± 1.71@@4.19,0.80 ± 1.62 / 46.85 ± 3.65@@0.80,-0.04 ± 1.97 / 45.53 ± 2.35@@-0.04,6.38 ± 1.05 / 0.00 ± 0.00@@6.38,-@@-1,-1.45 ± 1.09 / 23.91 ± 0.63@@-1.45,-0.32 ± 1.10 / 25.76 ± 0.78@@-0.32,-0.13 ± 0.64 / 19.75 ± 0.59@@-0.13,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HPLT/hplt2c_nno_checkpoints'>HPLT/hplt2c_nno_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,1.53 ± 2.15 / 25.28 ± 4.13@@1.53,4.00 ± 1.94 / 3.97 ± 2.00@@4.00,3.88 ± 1.80 / 4.37 ± 2.02@@3.88,1.54 ± 1.76 / 40.51 ± 4.33@@1.54,1.68 ± 2.08 / 41.28 ± 5.11@@1.68,6.04 ± 0.86 / 0.19 ± 0.09@@6.04,-@@-1,-2.09 ± 0.91 / 24.58 ± 0.84@@-2.09,1.07 ± 0.54 / 25.89 ± 0.42@@1.07,-2.71 ± 1.48 / 18.11 ± 1.18@@-2.71,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HPLT/hplt2c_nob_checkpoints'>HPLT/hplt2c_nob_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,8.41 ± 4.54 / 27.57 ± 5.06@@8.41,17.09 ± 3.77 / 16.44 ± 3.70@@17.09,13.15 ± 4.92 / 12.41 ± 4.71@@13.15,-0.99 ± 1.71 / 36.46 ± 2.61@@-0.99,0.59 ± 1.27 / 36.07 ± 3.27@@0.59,8.86 ± 0.65 / 0.13 ± 0.10@@8.86,-@@-1,-2.07 ± 1.65 / 23.23 ± 1.56@@-2.07,0.45 ± 0.78 / 25.77 ± 0.65@@0.45,-1.71 ± 1.44 / 19.25 ± 1.13@@-1.71,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct</a>,📝,-@@100,?,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,8.63 ± 1.83 / 31.92 ± 1.15@@8.63,1.08 ± 1.43 / 26.04 ± 1.01@@1.08,1.67 ± 1.32 / 20.90 ± 1.22@@1.67,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,-@@100,?,751632384.0,151936.0,40960.0,✓,✗,✗,✓,28.78 ± 1.57 / 46.47 ± 1.70@@28.78,32.27 ± 1.16 / 28.04 ± 1.38@@32.27,32.40 ± 1.61 / 27.43 ± 1.01@@32.40,9.61 ± 1.35 / 47.11 ± 1.11@@9.61,4.06 ± 2.23 / 47.43 ± 1.26@@4.06,37.90 ± 0.87 / 18.16 ± 0.59@@37.90,-@@-1,6.58 ± 0.79 / 30.57 ± 0.62@@6.58,0.68 ± 1.03 / 25.68 ± 0.68@@0.68,21.91 ± 2.21 / 37.26 ± 1.79@@21.91,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,📝,-@@100,?,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,38.72 ± 1.04 / 53.54 ± 1.96@@38.72,39.60 ± 1.59 / 29.87 ± 1.82@@39.60,41.78 ± 1.21 / 31.81 ± 2.04@@41.78,25.43 ± 1.91 / 61.92 ± 1.11@@25.43,16.76 ± 2.06 / 57.07 ± 1.88@@16.76,61.72 ± 1.59 / 34.56 ± 1.49@@61.72,-@@-1,15.00 ± 1.16 / 36.16 ± 1.21@@15.00,1.24 ± 0.69 / 25.65 ± 0.55@@1.24,40.18 ± 1.32 / 52.09 ± 1.06@@40.18,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,-@@0,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,-@@100,N/A,23575680000.0,131072.0,32768.0,✓,✗,(✓),✗,57.43 ± 1.23 / 69.72 ± 1.59@@57.43,75.26 ± 1.55 / 59.98 ± 3.77@@75.26,74.46 ± 1.57 / 61.87 ± 4.04@@74.46,57.74 ± 1.57 / 78.62 ± 0.81@@57.74,44.35 ± 1.51 / 71.36 ± 1.10@@44.35,73.58 ± 3.96 / 47.21 ± 5.65@@73.58,-@@-1,48.81 ± 1.03 / 61.59 ± 0.85@@48.81,24.04 ± 1.12 / 42.43 ± 1.05@@24.04,73.04 ± 1.36 / 78.41 ± 1.08@@73.04,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,✗,✓,34.93 ± 3.78 / 53.44 ± 2.54@@34.93,-@@-1,-@@-1,60.80 ± 2.47 / 80.06 ± 1.23@@60.80,44.95 ± 3.03 / 72.31 ± 1.56@@44.95,-@@-1,-@@-1,47.65 ± 2.64 / 60.86 ± 1.98@@47.65,24.95 ± 2.75 / 42.38 ± 1.78@@24.95,76.64 ± 4.74 / 80.94 ± 3.84@@76.64,16.3.0.dev0@@160300,-@@0,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,76.25 ± 2.47 / 82.46 ± 1.80@@76.25,58.87 ± 2.84 / 68.83 ± 2.16@@58.87,81.12 ± 4.01 / 84.69 ± 3.29@@81.12,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,✗,✓,56.29 ± 2.34 / 69.94 ± 1.87@@56.29,64.31 ± 2.54 / 50.90 ± 2.79@@64.31,58.93 ± 2.74 / 46.48 ± 2.52@@58.93,77.46 ± 2.39 / 88.69 ± 1.19@@77.46,73.33 ± 2.53 / 86.56 ± 1.27@@73.33,67.54 ± 0.54 / 42.00 ± 1.47@@67.54,-@@-1,70.83 ± 2.51 / 78.67 ± 1.78@@70.83,51.91 ± 2.47 / 64.06 ± 1.73@@51.91,77.54 ± 4.26 / 81.72 ± 3.48@@77.54,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,-@@0,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,?,200000.0,✓,✗,✗,✓,54.87 ± 2.85 / 68.23 ± 2.20@@54.87,78.57 ± 1.93 / 74.70 ± 2.62@@78.57,77.03 ± 2.65 / 70.01 ± 2.86@@77.03,81.62 ± 1.39 / 90.79 ± 0.70@@81.62,64.83 ± 1.65 / 82.32 ± 0.82@@64.83,70.03 ± 0.55 / 44.30 ± 1.20@@70.03,-@@-1,77.80 ± 1.73 / 83.71 ± 1.23@@77.80,64.28 ± 2.74 / 73.20 ± 2.02@@64.28,89.01 ± 3.94 / 91.25 ± 3.10@@89.01,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.9.2.dev0@@150902,15.10.1.dev0@@151001,15.9.2.dev0@@150902
<a href='https://hf.co/common-pile/comma-v0.1-1t'>common-pile/comma-v0.1-1t</a>,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✓,✗,(✓),✗,26.23 ± 1.48 / 44.15 ± 3.09@@26.23,42.95 ± 2.33 / 36.13 ± 3.47@@42.95,44.62 ± 1.78 / 36.14 ± 3.15@@44.62,1.88 ± 1.46 / 33.83 ± 0.57@@1.88,-0.07 ± 0.96 / 34.25 ± 1.66@@-0.07,32.96 ± 2.37 / 18.96 ± 1.48@@32.96,-@@-1,3.23 ± 2.18 / 29.44 ± 0.59@@3.23,2.50 ± 0.99 / 26.37 ± 0.67@@2.50,0.57 ± 0.94 / 20.21 ± 0.73@@0.57,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/common-pile/comma-v0.1-2t'>common-pile/comma-v0.1-2t</a>,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✓,✗,(✓),✗,27.39 ± 2.15 / 47.23 ± 2.10@@27.39,45.76 ± 2.15 / 39.56 ± 2.63@@45.76,47.28 ± 1.33 / 39.18 ± 3.62@@47.28,1.77 ± 1.61 / 34.46 ± 1.43@@1.77,1.95 ± 1.35 / 37.86 ± 4.48@@1.95,50.57 ± 3.28 / 30.27 ± 2.67@@50.57,-@@-1,7.71 ± 1.09 / 31.27 ± 0.65@@7.71,-0.48 ± 0.83 / 25.13 ± 0.74@@-0.48,6.77 ± 1.62 / 24.58 ± 1.38@@6.77,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/danish-foundation-models/encoder-small-v1'>danish-foundation-models/encoder-small-v1</a>,🔍,-@@100,N/A,22007401.0,96105.0,128.0,✓,✗,(✓),✗,17.31 ± 7.65 / 34.54 ± 5.95@@17.31,74.05 ± 2.41 / 75.86 ± 1.91@@74.05,66.56 ± 2.83 / 69.14 ± 2.42@@66.56,7.10 ± 7.50 / 47.13 ± 6.88@@7.10,0.84 ± 1.90 / 38.66 ± 4.67@@0.84,0.25 ± 0.48 / 0.17 ± 0.34@@0.25,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/danish-foundation-models/munin-7b-alpha'>danish-foundation-models/munin-7b-alpha</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,24.75 ± 1.69 / 42.72 ± 1.23@@24.75,0.45 ± 1.13 / 25.96 ± 0.59@@0.45,26.59 ± 2.14 / 39.91 ± 1.91@@26.59,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/bineric/NorskGPT-Mistral-7b'>bineric/NorskGPT-Mistral-7b</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,28.43 ± 1.00 / 47.25 ± 0.59@@28.43,-1.17 ± 1.50 / 24.51 ± 1.12@@-1.17,61.44 ± 1.55 / 68.88 ± 1.24@@61.44,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,-@@100,0.06,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,45.83 ± 0.81 / 62.54 ± 0.56@@45.83,37.57 ± 2.00 / 22.35 ± 1.22@@37.57,37.06 ± 2.20 / 21.24 ± 1.57@@37.06,13.46 ± 3.20 / 51.11 ± 4.85@@13.46,8.21 ± 2.40 / 48.49 ± 5.39@@8.21,14.24 ± 1.88 / 0.31 ± 0.08@@14.24,-@@-1,20.87 ± 0.95 / 40.92 ± 0.78@@20.87,-3.68 ± 0.78 / 22.50 ± 0.59@@-3.68,27.08 ± 1.64 / 40.56 ± 1.44@@27.08,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
